id,name,state,postcode,lat,lng
447,MOSMAN,NSW,2088,-33.829077,151.244090
448,NEUTRAL BAY,NSW,2089,-33.831120,151.221232
449,CREMORNE,NSW,2090,-33.828131,151.230233
450,CREMORNE POINT,NSW,2090,-33.844470,151.228231
451,SEAFORTH,NSW,2092,-33.797106,151.251146
452,BALGOWLAH,NSW,2093,-33.794121,151.262680
453,BALGOWLAH HEIGHTS,NSW,2093,-33.800553,151.257401
454,CLONTARF,NSW,2093,-33.808238,151.255095
455,MANLY VALE,NSW,2093,-33.784036,151.267315
456,NORTH BALGOWLAH,NSW,2093,-33.787074,151.251721
457,FAIRLIGHT,NSW,2094,-33.796219,151.269966
458,MANLY,NSW,2095,-33.797144,151.288040
459,CURL CURL,NSW,2096,-33.768937,151.294035
460,FRESHWATER,NSW,2096,-34.056973,150.751582
461,QUEENSCLIFF,NSW,2096,-33.784595,151.287817
462,COLLAROY,NSW,2097,-33.740969,151.303133
463,CROMER,NSW,2099,-33.740353,151.278523
464,DEE WHY,NSW,2099,-33.753451,151.285540
465,NARRAWEENA,NSW,2099,-33.749912,151.274687
466,NORTH CURL CURL,NSW,2099,-33.761652,151.295691
467,ALLAMBIE HEIGHTS,NSW,2100,-33.765076,151.248864
468,BEACON HILL,NSW,2100,-33.752406,151.261272
469,BROOKVALE,NSW,2100,-33.766629,151.273824
470,NORTH MANLY,NSW,2100,-33.775702,151.269339
471,OXFORD FALLS,NSW,2100,-33.730197,151.248218
472,ELANORA HEIGHTS,NSW,2101,-33.695015,151.280156
473,INGLESIDE,NSW,2101,-33.683176,151.262322
474,NARRABEEN,NSW,2101,-33.723127,151.287366
475,NORTH NARRABEEN,NSW,2101,-33.702661,151.293622
476,WARRIEWOOD,NSW,2102,-33.699138,151.300248
477,MONA VALE,NSW,2103,-33.678626,151.303222
478,BAYVIEW,NSW,2104,-33.657793,151.290234
479,CHURCH POINT,NSW,2105,-33.644873,151.284352
480,ELVINA BAY,NSW,2105,-33.642011,151.276109
481,LOVETT BAY,NSW,2105,-33.637405,151.278429
482,MORNING BAY,NSW,2105,-33.623044,151.281623
483,SCOTLAND ISLAND,NSW,2105,-33.641752,151.290116
484,NEWPORT,NSW,2106,-33.659896,151.309312
485,NEWPORT BEACH,NSW,2106,-33.652485,151.322776
486,AVALON,NSW,2107,-33.636121,151.328657
487,AVALON BEACH,NSW,2107,-33.636325,151.330596
488,BILGOLA,NSW,2107,-33.645562,151.323857
489,CLAREVILLE,NSW,2107,-33.634905,151.313321
490,WHALE BEACH,NSW,2107,-33.614274,151.330438
491,COASTERS RETREAT,NSW,2108,-33.604800,151.298830
492,GREAT MACKEREL BEACH,NSW,2108,-33.591729,151.300451
493,PALM BEACH,NSW,2108,-33.604282,151.321419
494,HUNTERS HILL,NSW,2110,-33.834419,151.151319
495,WOOLWICH,NSW,2110,-33.838393,151.172535
496,GLADESVILLE,NSW,2111,-33.830764,151.131583
497,HENLEY,NSW,2111,-33.842216,151.135943
498,HUNTLEYS COVE,NSW,2111,-33.839798,151.144587
499,HUNTLEYS POINT,NSW,2111,-33.840088,151.145968
500,TENNYSON POINT,NSW,2111,-33.831448,151.117286
501,DENISTONE EAST,NSW,2112,-33.797177,151.097546
502,PUTNEY,NSW,2112,-33.824735,151.112549
503,RYDE,NSW,2112,-33.812953,151.104942
504,BLENHEIM ROAD,NSW,2113,-33.798403,151.134108
